Date,Time,Open,High,Low,Close,Volume
2023/8/29,12:36:00,549,550,549,550,12
2023/8/29,12:37:00,549,550,549,550,19
2023/8/29,12:38:00,550,550,549,549,12
2023/8/29,12:39:00,549,550,549,550,22
2023/8/29,12:40:00,550,550,549,550,9
2023/8/29,12:41:00,550,550,550,550,8
2023/8/29,12:42:00,549,550,549,550,16
2023/8/29,12:43:00,550,550,550,550,5
2023/8/29,12:44:00,550,550,549,550,12
2023/8/29,12:45:00,550,550,549,550,11
2023/8/29,12:46:00,549,550,549,550,22
2023/8/29,12:47:00,549,550,549,550,12
2023/8/29,12:48:00,550,550,549,549,6
2023/8/29,12:49:00,550,550,549,549,11
2023/8/29,12:50:00,549,550,549,550,13
2023/8/29,12:51:00,550,550,549,550,18
2023/8/29,12:52:00,550,550,549,550,9
2023/8/29,12:53:00,550,550,549,549,13
2023/8/29,12:54:00,550,550,549,550,9
2023/8/29,12:55:00,550,550,549,550,19
2023/8/29,12:56:00,549,550,549,550,15
2023/8/29,12:57:00,550,550,550,550,49
2023/8/29,12:58:00,550,551,550,551,461
2023/8/29,12:59:00,551,551,551,551,106
2023/8/29,13:00:00,551,551,550,551,62
2023/8/29,13:01:00,551,552,551,551,20
2023/8/29,13:02:00,552,552,551,551,80
2023/8/29,13:03:00,551,552,551,552,6
2023/8/29,13:04:00,552,552,551,552,9
2023/8/29,13:05:00,552,552,551,551,12
2023/8/29,13:06:00,551,552,551,551,11
2023/8/29,13:07:00,551,552,551,552,11
2023/8/29,13:08:00,552,552,551,551,3
2023/8/29,13:09:00,552,552,551,552,8
2023/8/29,13:10:00,552,552,551,551,34
2023/8/29,13:11:00,552,552,551,552,10
2023/8/29,13:12:00,552,552,551,552,6
2023/8/29,13:13:00,552,552,551,551,18
2023/8/29,13:14:00,551,552,551,552,13
2023/8/29,13:15:00,551,552,551,552,22
2023/8/29,13:16:00,552,553,551,553,310
2023/8/29,13:17:00,552,553,552,553,31
2023/8/29,13:18:00,553,553,552,553,22
2023/8/29,13:19:00,553,553,552,553,17
2023/8/29,13:20:00,553,553,552,553,26
2023/8/29,13:21:00,553,553,552,552,79
2023/8/29,13:22:00,553,553,552,552,22
2023/8/29,13:23:00,553,553,552,553,31
2023/8/29,13:24:00,552,553,552,553,80
2023/8/29,13:25:00,553,553,553,553,0
2023/8/29,13:26:00,553,553,553,553,0
2023/8/29,13:27:00,553,553,553,553,0
2023/8/29,13:28:00,553,553,553,553,0
2023/8/29,13:29:00,552,552,552,552,3016
2023/8/30,09:00:00,558,558,557,557,1372
2023/8/30,09:01:00,557,559,557,558,244
2023/8/30,09:02:00,558,558,557,558,117
2023/8/30,09:03:00,558,559,557,558,152
2023/8/30,09:04:00,559,559,558,558,90
2023/8/30,09:05:00,558,558,557,557,63
2023/8/30,09:06:00,557,558,557,558,31
2023/8/30,09:07:00,557,558,557,557,30
2023/8/30,09:08:00,558,558,557,558,41
2023/8/30,09:09:00,557,558,557,557,75
